,Date,Open,High,Low,Close,Adj Close,Volume,x_normalized,Fischer_Transformation
0,2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.78590393066406,135480400,-0.5379533387375547,-0.6012709631488921
1,2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,73.06857299804688,146322800,-0.5558352919237606,-0.6267861939191538
2,2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.65078735351562,118387200,-0.5413215864979481,-0.6060230800540718
3,2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,73.30441284179688,108872000,-0.5499561685601648,-0.618318474972278
4,2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,74.48359680175781,132079200,-0.5205609321202507,-0.5771088840454601
5,2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,76.06568908691406,170108400,-0.48112181288946254,-0.524442956307699
6,2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,76.23765563964844,140644800,-0.47683495210350735,-0.5188797687476331
7,2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,77.86643981933594,121532000,-0.43623187599560986,-0.46756758539857224
8,2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,76.81498718261719,161954400,-0.4624429676583075,-0.5004143604087783
9,2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,76.48578643798828,121923600,-0.4706494342090255,-0.5109042332802837
10,2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,77.44388580322266,108829200,-0.4467654955444178,-0.48065184033027913
11,2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,78.30126953125,137816400,-0.4253922422939802,-0.4542573325338582
12,2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,77.77062225341797,110843200,-0.4386204600511029,-0.470521350479113
13,2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,78.0482406616211,101832400,-0.43169986154713924,-0.46198401986582616
14,2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,78.4240951538086,104472000,-0.42233038906447296,-0.4505249133129042
15,2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,78.19808197021484,146537600,-0.4279645489545856,-0.4574021750589543
16,2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,75.89864349365234,161940000,-0.485286001749644,-0.5298756116317057
17,2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,78.04576110839844,162234000,-0.4317616729826067,-0.4620599918254673
18,2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,79.679443359375,216229200,-0.39103649551603203,-0.413023044756121
19,2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,79.5639877319336,126743200,-0.39391462614042694,-0.4164252442701865
20,2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,76.03622436523438,199588400,-0.48185632293184766,-0.5253991402049003
